Freq.	V(d5+)	V(d5u)
1.11429453359173e+000	(-5.40816203152515e+001dB,6.85308945018986e-004°)	(-6.11477735599096e+001dB,6.80188791923448e-004°)
1.11686324778056e+000	(-5.40816203152486e+001dB,6.86888745294048e-004°)	(-6.11477735599062e+001dB,6.81756789026583e-004°)
1.11943788346715e+000	(-5.40816203152614e+001dB,6.88472187385746e-004°)	(-6.11477735599043e+001dB,6.83328400736400e-004°)
1.12201845430196e+000	(-5.40816203152272e+001dB,6.90059279685162e-004°)	(-6.11477735599015e+001dB,6.84903635385340e-004°)
1.12460497396692e+000	(-5.40816203152087e+001dB,6.91650030611592e-004°)	(-6.11477735598986e+001dB,6.86482501325173e-004°)
1.12719745617551e+000	(-5.40816203152370e+001dB,6.93244448600447e-004°)	(-6.11477735598943e+001dB,6.88065006926832e-004°)
1.12979591467280e+000	(-5.40816203152263e+001dB,6.94842542100286e-004°)	(-6.11477735598924e+001dB,6.89651160580750e-004°)
1.13240036323556e+000	(-5.40816203152155e+001dB,6.96444319586090e-004°)	(-6.11477735598895e+001dB,6.91240970696436e-004°)
1.13501081567231e+000	(-5.40816203152360e+001dB,6.98049789552104e-004°)	(-6.11477735598871e+001dB,6.92834445702951e-004°)
1.13762728582343e+000	(-5.40816203152018e+001dB,6.99658960504589e-004°)	(-6.11477735598832e+001dB,6.94431594048672e-004°)
1.14024978756117e+000	(-5.40816203152066e+001dB,7.01271840982298e-004°)	(-6.11477735598802e+001dB,6.96032424201609e-004°)
1.14287833478977e+000	(-5.40816203151958e+001dB,7.02888439532139e-004°)	(-6.11477735598777e+001dB,6.97636944649195e-004°)
1.14551294144553e+000	(-5.40816203152240e+001dB,7.04508764730220e-004°)	(-6.11477735598752e+001dB,6.99245163898407e-004°)
1.14815362149688e+000	(-5.40816203152132e+001dB,7.06132825159452e-004°)	(-6.11477735598718e+001dB,7.00857090475837e-004°)
1.15080038894443e+000	(-5.40816203151867e+001dB,7.07760629434252e-004°)	(-6.11477735598692e+001dB,7.02472732927826e-004°)
1.15345325782109e+000	(-5.40816203151914e+001dB,7.09392186187973e-004°)	(-6.11477735598662e+001dB,7.04092099820297e-004°)
1.15611224219210e+000	(-5.40816203151728e+001dB,7.11027504066482e-004°)	(-6.11477735598627e+001dB,7.05715199738960e-004°)
1.15877735615512e+000	(-5.40816203151853e+001dB,7.12666591744690e-004°)	(-6.11477735598592e+001dB,7.07342041289370e-004°)
1.16144861384034e+000	(-5.40816203151900e+001dB,7.14309457908628e-004°)	(-6.11477735598567e+001dB,7.08972633096904e-004°)
1.16412602941049e+000	(-5.40816203151947e+001dB,7.15956111271002e-004°)	(-6.11477735598531e+001dB,7.10606983806719e-004°)
1.16680961706096e+000	(-5.40816203151759e+001dB,7.17606560559121e-004°)	(-6.11477735598510e+001dB,7.12245102084084e-004°)
1.16949939101987e+000	(-5.40816203151806e+001dB,7.19260814528277e-004°)	(-6.11477735598469e+001dB,7.13886996613997e-004°)
1.17219536554813e+000	(-5.40816203151618e+001dB,7.20918881944808e-004°)	(-6.11477735598443e+001dB,7.15532676101755e-004°)
1.17489755493953e+000	(-5.40816203151587e+001dB,7.22580771601856e-004°)	(-6.11477735598407e+001dB,7.17182149272497e-004°)
1.17760597352080e+000	(-5.40816203151789e+001dB,7.24246492312202e-004°)	(-6.11477735598375e+001dB,7.18835424871612e-004°)
1.18032063565173e+000	(-5.40816203151757e+001dB,7.25916052904687e-004°)	(-6.11477735598339e+001dB,7.20492511664572e-004°)
1.18304155572516e+000	(-5.40816203151412e+001dB,7.27589462228042e-004°)	(-6.11477735598317e+001dB,7.22153418437172e-004°)
1.18576874816716e+000	(-5.40816203151380e+001dB,7.29266729161401e-004°)	(-6.11477735598285e+001dB,7.23818153995258e-004°)
1.18850222743702e+000	(-5.40816203151426e+001dB,7.30947862594805e-004°)	(-6.11477735598262e+001dB,7.25486727165188e-004°)
1.19124200802737e+000	(-5.40816203151627e+001dB,7.32632871442079e-004°)	(-6.11477735598226e+001dB,7.27159146793463e-004°)
1.19398810446427e+000	(-5.40816203151438e+001dB,7.34321764632940e-004°)	(-6.11477735598188e+001dB,7.28835421747142e-004°)
1.19674053130724e+000	(-5.40816203151405e+001dB,7.36014551126526e-004°)	(-6.11477735598161e+001dB,7.30515560913712e-004°)
1.19949930314938e+000	(-5.40816203151450e+001dB,7.37711239895918e-004°)	(-6.11477735598128e+001dB,7.32199573201045e-004°)
1.20226443461741e+000	(-5.40816203151261e+001dB,7.39411839935375e-004°)	(-6.11477735598095e+001dB,7.33887467537626e-004°)
1.20503594037179e+000	(-5.40816203151540e+001dB,7.41116360265977e-004°)	(-6.11477735598057e+001dB,7.35579252872478e-004°)
1.20781383510678e+000	(-5.40816203151506e+001dB,7.42824809919471e-004°)	(-6.11477735598024e+001dB,7.37274938175326e-004°)
1.21059813355048e+000	(-5.40816203151317e+001dB,7.44537197955057e-004°)	(-6.11477735598001e+001dB,7.38974532436541e-004°)
1.21338885046497e+000	(-5.40816203151283e+001dB,7.46253533454232e-004°)	(-6.11477735597958e+001dB,7.40678044667079e-004°)
1.21618600064636e+000	(-5.40816203151249e+001dB,7.47973825515074e-004°)	(-6.11477735597929e+001dB,7.42385483898940e-004°)
1.21898959892486e+000	(-5.40816203151293e+001dB,7.49698083259664e-004°)	(-6.11477735597900e+001dB,7.44096859184738e-004°)
1.22179966016487e+000	(-5.40816203151180e+001dB,7.51426315827295e-004°)	(-6.11477735597856e+001dB,7.45812179597935e-004°)
1.22461619926504e+000	(-5.40816203151068e+001dB,7.53158532382498e-004°)	(-6.11477735597823e+001dB,7.47531454233109e-004°)
1.22743923115840e+000	(-5.40816203150955e+001dB,7.54894742108615e-004°)	(-6.11477735597789e+001dB,7.49254692205640e-004°)
1.23026877081238e+000	(-5.40816203150842e+001dB,7.56634954212777e-004°)	(-6.11477735597754e+001dB,7.50981902651960e-004°)
1.23310483322890e+000	(-5.40816203151119e+001dB,7.58379177921546e-004°)	(-6.11477735597724e+001dB,7.52713094729591e-004°)
1.23594743344451e+000	(-5.40816203151162e+001dB,7.60127422481774e-004°)	(-6.11477735597685e+001dB,7.54448277617070e-004°)
1.23879658653036e+000	(-5.40816203150971e+001dB,7.61879697158566e-004°)	(-6.11477735597655e+001dB,7.56187460514258e-004°)
1.24165230759241e+000	(-5.40816203150857e+001dB,7.63636011245793e-004°)	(-6.11477735597615e+001dB,7.57930652642042e-004°)
1.24451461177138e+000	(-5.40816203150978e+001dB,7.65396374057975e-004°)	(-6.11477735597585e+001dB,7.59677863242736e-004°)
1.24738351424294e+000	(-5.40816203150942e+001dB,7.67160794923960e-004°)	(-6.11477735597545e+001dB,7.61429101579796e-004°)
1.25025903021771e+000	(-5.40816203150906e+001dB,7.68929283199562e-004°)	(-6.11477735597514e+001dB,7.63184376938187e-004°)
1.25314117494141e+000	(-5.40816203150714e+001dB,7.70701848260994e-004°)	(-6.11477735597483e+001dB,7.64943698624175e-004°)
1.25602996369487e+000	(-5.40816203150912e+001dB,7.72478499510322e-004°)	(-6.11477735597443e+001dB,7.66707075965463e-004°)
1.25892541179416e+000	(-5.40816203150563e+001dB,7.74259246359113e-004°)	(-6.11477735597412e+001dB,7.68474518311383e-004°)
1.26182753459066e+000	(-5.40816203150683e+001dB,7.76044098257191e-004°)	(-6.11477735597361e+001dB,7.70246035032611e-004°)
1.26473634747115e+000	(-5.40816203150724e+001dB,7.77833064662499e-004°)	(-6.11477735597330e+001dB,7.72021635521728e-004°)
1.26765186585784e+000	(-5.40816203150453e+001dB,7.79626155059399e-004°)	(-6.11477735597298e+001dB,7.73801329192697e-004°)
1.27057410520854e+000	(-5.40816203150650e+001dB,7.81423378960049e-004°)	(-6.11477735597262e+001dB,7.75585125481269e-004°)
1.27350308101666e+000	(-5.40816203150691e+001dB,7.83224745889398e-004°)	(-6.11477735597220e+001dB,7.77373033844939e-004°)
1.27643880881134e+000	(-5.40816203150575e+001dB,7.85030265396261e-004°)	(-6.11477735597183e+001dB,7.79165063763065e-004°)
1.27938130415752e+000	(-5.40816203150538e+001dB,7.86839947056250e-004°)	(-6.11477735597150e+001dB,7.80961224736823e-004°)
1.28233058265602e+000	(-5.40816203150187e+001dB,7.88653800460279e-004°)	(-6.11477735597113e+001dB,7.82761526289226e-004°)
