time	V(n001)
3.106179319312119e-008	-9.843204e+000
3.114991936614686e-008	-9.868595e+000
3.128574183053345e-008	-9.903959e+000
3.141135923589999e-008	-9.931870e+000
3.158898315147596e-008	-9.962223e+000
3.177926327646574e-008	-9.982247e+000
3.201195492019693e-008	-9.988459e+000
3.224590178207976e-008	-9.974983e+000
3.250605612459268e-008	-9.938914e+000
3.275795629198441e-008	-9.886866e+000
3.305891810301276e-008	-9.810113e+000
3.340201487622707e-008	-9.714999e+000
3.373167672959809e-008	-9.624177e+000
3.406594500932059e-008	-9.539151e+000
3.447339397277816e-008	-9.449284e+000
3.501357698221241e-008	-9.349413e+000
3.546778121199523e-008	-9.279325e+000
3.591044756001693e-008	-9.220560e+000
3.637730400241068e-008	-9.163701e+000
3.690141486822895e-008	-9.102119e+000
3.751355176495608e-008	-9.030604e+000
3.836504630649884e-008	-8.931402e+000
3.938086462484947e-008	-8.815289e+000
4.052136554077990e-008	-8.688692e+000
4.184136553897488e-008	-8.544319e+000
4.316136553716987e-008	-8.398602e+000
4.448136553536486e-008	-8.250815e+000
4.580136553355985e-008	-8.102887e+000
4.712136553175483e-008	-7.956294e+000
4.844136552994982e-008	-7.810764e+000
4.976136552814481e-008	-7.665552e+000
5.108136552633980e-008	-7.520576e+000
5.240136552453478e-008	-7.376176e+000
5.372136552272977e-008	-7.232485e+000
5.504136552092476e-008	-7.089375e+000
5.636136551911974e-008	-6.946767e+000
5.768136551731473e-008	-6.804739e+000
5.900136551550972e-008	-6.663378e+000
6.032136551370471e-008	-6.522699e+000
6.164136551189969e-008	-6.382692e+000
6.296136551009468e-008	-6.243373e+000
6.428136550828967e-008	-6.104780e+000
6.560136550648466e-008	-5.967142e+000
6.692136550467964e-008	-5.831217e+000
6.816608127957480e-008	-5.705529e+000
6.905163724146846e-008	-5.618335e+000
7.002267982114674e-008	-5.525096e+000
7.125199014135220e-008	-5.409201e+000
7.257199013954718e-008	-5.286059e+000
7.389199013774217e-008	-5.163459e+000
7.521199013593716e-008	-5.041112e+000
7.653199013413214e-008	-4.919141e+000
7.785199013232713e-008	-4.797703e+000
7.917199013052212e-008	-4.676808e+000
8.181199012691209e-008	-4.436417e+000
8.916627583114131e-008	-3.776717e+000
9.652056153537053e-008	-3.129005e+000
1.038748472395997e-007	-2.493282e+000
1.112291329438290e-007	-1.869546e+000
1.185834186480582e-007	-1.257799e+000
1.259377043522874e-007	-6.580402e-001
1.332919900565166e-007	-7.026955e-002
1.346119900547116e-007	3.416723e-002
1.372519900511016e-007	2.419734e-001
1.504519900330514e-007	1.257787e+000
1.636519900150013e-007	2.241851e+000
1.768519899969512e-007	3.194167e+000
1.900519899789011e-007	4.114734e+000
2.032519899608510e-007	5.003552e+000
2.164519899428008e-007	5.860621e+000
2.296519899247507e-007	6.685941e+000
2.345548470609035e-007	6.985599e+000
2.394577041970563e-007	7.281060e+000
